Plate 1: cols 1-6,Plate 1: cols 7-12,Plate 2: cols 1-6,Plate 2: cols 7-12,A: Ladder
205.9434,299.9995,225.8092,247.7324,543.1593
205.9214,300.4861,224.9218,247.4921,561.708
205.7326,301.3764,224.2238,247.0425,563.2094
205.448,302.2253,223.0751,246.445,547.4766
205.2493,301.8004,222.2465,245.0832,509.8496
205.7417,301.4654,221.8041,242.9945,459.0526
205.8024,301.4399,221.6501,241.1774,400.7479
205.5127,301.4418,221.3215,239.9308,338.6713
205.0677,300.8536,220.8052,239.1041,276.9584
204.9679,299.3898,220.2013,238.3892,222.7078
203.4299,298.519,219.6834,238.1222,175.3504
202.5261,298.2715,219.3654,238.4093,135.6064
202.1338,298.8198,218.344,239.0879,104.019
201.7742,300.4243,217.4637,238.4997,82.62691
202.256,302.0957,216.9184,237.9919,67.26698
202.6116,303.0432,216.4612,236.9774,55.98577
202.7915,303.513,215.5246,235.3836,48.26588
202.689,303.8215,214.579,233.4162,44.02375
202.1084,304.3755,214.0374,232.5284,41.22791
201.2387,304.5564,213.1255,231.5488,39.20443
200.3361,303.9646,211.7616,230.6053,37.70544
199.5768,302.4706,210.9534,229.7703,36.55579
198.962,300.473,209.6089,228.8084,35.83867
197.8558,299.0266,208.6313,227.6739,35.12118
197.5225,298.5735,207.8144,226.9864,34.5213
197.191,298.2294,206.941,226.1332,34.09431
197.1112,298.1667,206.1111,223.9509,33.8778
197.7704,298.1079,205.4192,222.8793,34.39893
197.7251,297.032,204.8118,221.6803,34.74437
197.3565,297.4555,204.256,220.3252,35.18369
196.8074,298.2123,203.6957,218.9179,36.09668
196.1383,298.5058,202.8006,217.9538,38.43296
195.3268,298.1428,201.7437,217.2315,42.22529
195.4832,297.9483,200.6218,216.3056,48.26765
195.2331,297.1218,199.5186,215.1641,57.09853
194.692,295.5163,198.5262,213.9035,69.15376
194.1266,294.1081,197.4719,212.6169,86.22124
193.9361,293.2322,196.2167,211.8294,109.7517
193.1702,291.6559,195.0972,210.9364,139.0763
192.5069,290.6992,194.137,209.8593,174.6682
191.9696,290.2795,192.8599,209.3184,219.5415
191.3082,290.06,191.6721,208.3126,273.5222
190.2948,289.6477,190.6362,207.0524,331.4773
189.2845,288.5211,189.6542,205.8757,391.4534
188.3963,287.2659,188.7484,205.0672,451.1505
187.7636,286.0139,188.5202,203.7837,500.6422
187.6345,284.4887,187.9081,202.0836,534.9547
187.6367,282.5928,187.6528,200.4667,551.9545
187.6012,280.9669,187.6799,199.0604,550.418
187.5915,280.0446,187.6025,197.6797,529.2805
187.6509,279.256,185.9092,196.8697,488.2244
187.3402,278.1902,184.5597,195.908,435.0845
186.9702,276.9027,182.8291,194.985,374.7924
186.5011,277.353,180.7456,194.2814,312.3814
185.7749,276.1211,178.8158,193.378,253.7149
184.5166,274.1643,177.542,192.786,202.3905
183.6061,272.3356,176.5143,192.1515,159.5849
183.2295,271.1537,175.6116,191.126,125.3312
182.7918,269.3875,174.7993,189.2163,98.65674
182.0041,268.5366,174.187,187.7043,79.52927
181.3489,268.8476,173.6927,186.2083,64.82221
180.6868,269.6069,173.3656,184.6707,54.40426
179.75,270.0089,172.5536,183.1298,47.83179
178.638,270.6249,171.0233,182.0347,43.53617
177.557,268.8991,170.3245,180.7057,40.51097
176.8798,268.3693,169.368,179.3754,38.19901
176.0421,268.2249,168.5914,178.0256,36.42044
175.0729,266.5411,167.9885,176.5291,35.0687
174.1411,263.976,167.4115,175.3283,33.96288
173.6215,262.3625,166.4345,174.1551,33.03479
173.2667,260.343,165.5694,172.9868,32.13986
172.7868,258.2111,164.4398,171.8599,31.21349
172.1597,256.8449,163.0857,171.0159,30.40386
171.4566,256.2537,161.8183,170.3284,29.44238
171.0856,255.603,160.731,169.429,28.46083
169.7483,254.8061,159.5814,168.3803,27.45333
168.8187,253.769,158.3308,167.3764,26.38395
168.3394,252.4736,157.0065,166.3608,25.51381
167.9193,252.1868,155.7455,165.1689,24.61572
167.2092,250.4056,154.8078,163.6039,23.85799
166.7184,248.5859,153.667,161.7425,23.28363
166.3263,247.2376,152.3788,160.223,22.73211
165.9428,246.3392,151.1223,158.9874,22.6423
165.4795,245.6621,150.4061,157.7628,22.43153
165.0531,244.9694,149.3266,156.6442,22.17412
163.9424,244.5215,148.4442,155.7806,22.03393
162.6151,244.1503,147.7109,155.1243,21.62115
161.5246,243.3638,146.919,154.3124,21.53613
160.2975,241.7683,145.8493,153.276,21.57637
159.4633,240.4361,144.6863,152.0604,21.72514
158.5,238.9036,143.5897,150.8795,22.19053
157.3888,236.9584,142.53,149.4359,22.99112
156.3444,234.6038,141.3558,147.9396,24.77574
155.2505,232.7251,140.214,146.5258,27.56775
154.1168,231.58,138.9104,145.2873,31.45138
153.1445,230.6936,137.7053,144.0155,38.31055
152.3654,229.7384,136.5916,142.546,48.73106
151.4774,228.5338,135.1236,141.1992,62.68096
150.3059,227.4937,133.7648,139.9584,81.48483
149.5639,225.9871,132.2791,138.5275,108.1469
148.9809,224.3289,130.8469,137.0849,145.5272
148.1693,222.8485,129.5735,135.3699,193.4548
147.2708,221.9062,128.1519,133.4973,251.5146
146.2966,220.7942,126.9322,131.6088,318.4933
145.1858,219.5692,125.667,129.8996,391.5007
143.9954,218.3652,124.5204,128.6252,460.6634
142.888,217.3026,123.6977,127.4486,520.5109
142.0259,216.4962,122.6557,126.2775,566.2666
141.3525,214.9136,121.6558,125.1096,592.4102
140.4187,213.2988,120.5029,123.8604,587.1628
139.0871,211.7709,119.2714,122.684,560.1037
138.1312,210.2011,118.2175,121.5356,514.7764
137.3095,207.9959,116.6687,120.385,454.8922
135.9696,206.4379,115.261,119.2559,383.5629
134.397,205.1673,113.77,117.7737,313.302
133.1074,203.897,112.1014,116.1216,248.829
132.0208,202.4697,110.3377,114.4379,192.6564
130.6738,201.0237,108.6769,112.8794,146.635
129.4562,199.2913,107.2346,111.6582,113.8438
128.4264,197.2654,105.9747,110.0725,89.86886
127.3221,195.2092,104.8242,108.4359,72.19321
126.2736,193.207,103.6377,106.9113,59.15451
125.06,190.666,102.4684,105.41,50.80176
123.8838,188.6371,101.4977,104.1244,46.21964
122.8945,186.4847,100.5087,102.9365,43.03424
121.9344,184.5349,99.22982,101.7564,40.76098
120.6694,183.045,98.06083,100.4787,39.17663
119.3663,181.5229,96.76245,98.77894,37.81562
118.0866,179.7828,95.27656,97.19778,36.59684
116.8251,178.2517,93.68558,95.68606,35.52846
115.2632,176.6582,92.17897,94.24859,34.56657
113.7523,174.7584,90.71328,92.97822,33.56522
112.33,173.0601,89.25898,91.36906,32.58219
110.9576,170.9294,87.76156,89.83955,31.60153
109.4598,168.5984,86.23246,88.40078,30.81662
108.2481,166.2242,84.79281,87.00137,30.37656
106.9132,163.9291,83.4439,85.51682,29.62065
105.6653,161.6789,82.12859,83.98973,29.08363
104.7029,159.924,80.92925,82.52442,28.84069
103.7089,157.7592,79.88185,81.05978,28.93019
102.4876,155.2519,78.8234,79.34084,29.3757
101.3265,152.7769,77.63959,77.94202,30.04213
100.2554,150.7909,76.39006,76.61457,31.72604
99.17735,148.9002,75.16754,75.27709,34.49488
97.68401,147.0127,74.03445,73.88675,38.5386
96.32601,144.9957,72.53063,72.56914,45.85416
94.84962,142.7821,71.08205,71.22811,58.1701
93.21885,141.1709,69.77389,69.90066,78.2789
91.89912,139.2104,68.53339,68.57778,107.5505
90.57038,137.5581,67.17426,67.21834,146.7493
89.40879,136.2241,66.03701,66.17739,205.4272
88.30927,134.8857,65.25549,65.12141,277.8132
87.13821,132.7047,64.32076,63.88117,359.426
86.09895,130.5192,63.03281,62.43359,444.9807
84.9612,128.5753,61.62372,61.31703,524.4942
83.84277,126.6998,60.46154,60.12106,584.9993
82.72375,124.5006,59.24776,58.84082,621.2765
81.47023,122.1245,57.95204,57.53092,630.8278
80.2774,119.9912,56.62939,56.28537,613.157
79.04595,117.8827,55.59309,55.14228,560.5511
77.78684,115.7655,54.68428,53.90855,490.9987
76.52934,113.7185,53.71671,52.72546,410.039
75.36247,111.5495,52.76305,51.69505,324.2443
74.0633,109.7463,51.94739,50.88293,245.7671
72.75983,108.1077,51.21153,49.85745,182.9118
71.49091,106.576,50.10993,48.73236,133.4744
70.27831,105.2016,48.97434,47.60227,96.83017
69.20251,103.8875,47.92693,46.56907,71.84016
68.15363,102.1406,46.98383,45.58168,57.18366
67.14203,100.5708,45.85925,44.5405,46.82892
66.16212,99.2075,44.92168,43.46753,40.49387
65.18754,97.48817,44.02396,42.4008,37.45595
64.10197,95.5797,43.09528,41.43253,35.97806
62.90312,93.7093,42.17143,40.45319,34.83923
61.70007,91.81677,41.17742,39.57791,33.96918
60.57391,89.92334,40.27458,38.77138,33.22569
59.44255,88.15983,39.47011,37.97226,32.46047
58.44119,86.5237,38.75171,37.18343,31.88599
57.42702,84.79766,38.10269,36.38128,31.32994
56.39371,83.08896,37.45604,35.54867,30.40393
55.38265,81.46143,36.79805,34.68532,29.18364
54.18013,79.90628,36.12935,33.80981,28.32383
53.14667,79.00096,35.45961,32.95139,27.30761
52.26202,77.76247,34.85721,32.12551,26.19472
51.44047,76.44475,34.12616,31.37632,25.12594
50.4463,75.21496,33.36635,30.73877,24.22926
49.60542,73.97383,32.58752,30.18596,23.49148
48.92643,73.18973,31.74819,29.6296,22.43105
48.34941,71.78231,31.04271,29.01154,21.39918
47.80298,70.23349,30.41564,28.35494,20.59232
47.24003,68.86575,29.8203,27.7552,20.18432
46.58854,67.38575,29.26553,27.13297,19.4394
45.81865,66.06705,28.85828,26.56653,18.81585
44.98062,64.70615,28.23059,26.00735,18.54416
44.18855,63.51228,27.6085,25.42243,18.67666
43.46403,62.53888,27.08811,24.88068,18.5101
42.703,61.29303,26.70819,24.39454,18.5932
41.93945,60.34626,26.35365,23.97227,18.61463
41.23363,59.50149,25.90822,23.58314,18.60973
40.74316,58.58603,25.40399,23.16612,18.78867
40.20105,57.44588,24.87318,22.72351,18.50994
39.68765,55.94493,24.34791,22.20182,18.40249
39.10948,54.84588,23.80804,21.69852,18.45124
38.35658,53.8393,23.46495,21.27048,18.59589
37.57462,52.80051,23.15517,20.86974,18.64757
36.73677,51.7396,22.77967,20.50161,19.08235
36.09424,51.15007,22.26162,20.14492,19.51709
35.60775,50.24423,21.82821,19.76238,19.86372
34.9705,49.1188,21.47834,19.30963,20.11732
34.52778,48.05014,21.1793,19.01886,20.84955
34.09359,47.26586,20.8643,18.66556,21.46465
33.67447,46.49601,20.39191,18.28299,22.2534
33.27515,45.55407,19.8938,17.90645,23.36355
32.86497,44.73276,19.36791,17.59798,24.75463
32.32264,44.08542,18.92291,17.23298,26.96902
31.63948,43.58537,18.62531,16.9936,30.12954
30.94525,43.13902,18.37045,16.76862,34.71569
30.42072,42.81324,18.16435,16.39719,41.44872
30.02133,42.65039,17.97064,16.12238,55.33027
29.79695,42.35363,17.76585,15.78588,78.02508
29.50857,41.58272,17.54197,15.46033,112.7496
29.14454,40.70275,17.45182,15.16812,161.0806
28.98015,40.1576,17.3141,14.87707,223.8018
28.64202,39.56254,17.11925,14.57809,303.0687
28.29092,38.89909,16.87883,14.26163,388.5649
27.95614,38.28157,16.622,14.01447,473.0567
27.61669,37.62796,16.57879,13.9028,548.6673
27.01594,37.12075,16.49594,13.6648,597.4374
26.56457,36.6538,16.33325,13.46049,615.812
26.15019,36.21906,16.09786,13.24258,605.1957
25.75623,35.84732,15.87084,13.02937,566.8094
25.40015,35.4431,15.6177,12.90732,502.6581
25.00591,35.00608,15.28895,12.6745,419.0978
24.60151,34.55279,14.92601,12.53645,333.2451
24.21389,34.09133,14.56483,12.36777,250.5878
23.88226,33.61902,14.18919,12.08429,176.3609
23.69329,32.92302,13.92967,11.96953,122.8806
23.49211,32.36364,13.74248,11.81523,87.16513
23.3325,31.72174,13.64639,11.68742,63.37386
23.10008,30.99068,13.64599,11.5495,48.61755
