A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
367.9334,322.3628,339.8905,511.8237
293.2852,325.1608,343.6165,507.1245
230.6095,328.3746,345.4964,502.3614
180.7881,330.8536,348.58,496.1799
142.5127,332.8945,350.3572,489.3057
115.1469,335.2955,351.3234,482.4958
96.94256,337.9755,352.6082,475.695
85.15524,340.7158,353.7803,469.1109
76.39698,343.5819,353.9761,462.7586
69.91819,345.5667,353.5275,456.0898
65.37853,347.1776,351.8397,448.9104
61.95186,348.8761,350.2282,441.8235
59.77796,350.1453,350.7213,435.0592
56.95803,351.4363,349.3426,427.7305
55.02413,350.7154,348.4147,420.2296
53.63112,350.5138,346.2374,412.7291
52.51119,351.5726,343.2372,405.8929
51.42643,352.7902,340.4764,399.2834
50.28646,353.8403,338.2703,391.8106
49.93964,354.7235,336.5634,385.0019
50.01415,354.7839,334.9052,378.3476
51.09409,354.3576,332.5424,371.1505
53.73291,353.8049,330.2865,364.3835
58.04439,352.9354,328.6699,358.0354
64.91161,351.6441,327.8375,351.245
76.14397,348.8819,326.1214,344.9263
91.54625,346.8808,322.7485,339.237
112.1993,345.1032,318.4964,332.7451
138.9245,342.9386,314.7834,325.787
174.3767,340.7931,312.3528,318.2864
218.672,338.7472,310.6416,311.3737
272.6455,336.5382,308.4337,303.915
339.9522,334.4445,306.0357,296.6867
422.6732,331.6137,304.6792,290.1646
511.1463,329.7949,301.7062,283.739
599.9561,328.2942,299.6956,277.1536
683.761,326.3959,296.5382,271.0975
756.3377,324.7796,292.2145,265.7241
810.8273,322.8987,287.8307,259.6643
840.4155,320.7339,283.9664,254.1136
837.351,318.4789,280.3681,248.8227
806.1584,315.9351,276.4773,243.3638
749.8327,312.9047,273.2865,237.5554
676.7697,309.5611,270.073,231.7616
594.7184,305.6728,267.0254,225.9888
508.3585,302.4944,263.4463,219.9286
419.6538,299.6907,260.1991,214.0655
339.488,296.9494,257.249,208.3385
270.7356,294.4888,254.2125,202.9068
215.996,291.941,251.2069,197.7673
172.6006,288.8804,248.3196,192.8434
138.5626,285.4928,244.9888,187.9651
113.2957,282.017,241.3144,183.073
96.24044,278.5058,237.7402,178.3005
84.47861,275.088,233.4941,173.7014
75.71806,271.641,229.4629,169.0063
69.66891,267.7805,225.8164,164.7092
64.63058,264.199,221.7195,160.2161
60.49739,260.6066,217.6843,155.8904
57.72746,257.3955,214.16,151.5952
54.64374,254.4549,211.1003,147.346
52.76196,251.5381,208.321,143.0558
50.5002,248.6396,205.4659,138.7798
48.43432,245.7375,202.2796,134.6148
46.62258,242.8355,198.9986,130.3716
44.87633,239.711,195.6009,126.4043
43.05932,235.7897,192.3656,122.1919
41.43151,231.4144,189.1899,118.2249
39.86819,227.7639,185.63,114.2907
38.29749,224.0533,182.0158,110.5473
36.80051,220.5156,178.7099,107.0005
35.03405,217.4442,175.6282,103.6501
33.13387,214.579,172.5466,100.4034
31.59774,211.7297,169.2756,96.92712
30.29109,208.7108,165.9971,93.7871
29.2534,205.4955,162.3548,90.35824
28.58167,201.8886,159.0059,87.02441
28.19799,197.8148,155.5132,83.64658
28.54417,194.0901,151.8275,80.29354
29.38017,190.8599,148.2285,77.19405
30.0803,187.1263,144.7965,74.21015
31.76398,183.4028,141.421,71.18532
34.09038,179.8946,138.0323,68.57241
37.29053,175.9251,134.6603,66.00417
41.15056,172.4753,131.4338,63.45946
48.70432,168.9243,128.262,61.09621
61.56577,165.0468,125.0395,58.63784
79.12912,161.0003,121.9515,56.52568
104.4529,156.8961,118.7874,54.43859
140.0455,153.026,115.3634,52.20093
186.8961,149.5002,112.4595,50.04282
245.1809,145.7102,109.9215,47.90942
317.2385,142.1605,107.0296,45.66175
403.6339,139.114,104.0005,43.67647
500.7774,135.5683,101.2074,41.65236
601.8419,132.304,98.70868,39.84639
696.0347,129.1536,95.83878,37.99365
779.2007,125.9577,93.17114,36.12475
839.5867,122.6458,90.27874,34.49889
871.2878,119.3029,87.35455,33.10559
872.3422,115.9553,84.51115,31.49642
842.5333,112.4079,82.09172,29.81945
782.7448,108.8816,79.68142,28.23436
700.3079,105.469,76.80727,26.70012
609.317,102.6486,74.33962,25.34132
516.477,99.37146,71.89753,24.16238
426.8083,96.21231,69.54795,22.9782
344.4625,93.22066,67.08506,21.80029
273.1324,90.33795,64.70784,20.77877
216.5286,87.48219,62.3406,19.8274
172.0365,84.51247,60.22105,18.66555
137.8736,81.45677,58.2165,17.51037
113.1855,78.43478,56.33088,16.36502
95.86362,75.44152,54.52925,15.10876
83.77682,72.98293,52.63266,14.20584
75.85413,69.9032,50.92326,13.5558
70.14536,66.42132,48.84204,12.94213
65.83675,63.29308,46.82678,12.24821
62.18134,60.50706,44.71158,11.43029
59.48937,58.21955,42.46751,10.9773
57.34055,55.94519,40.54155,10.70569
55.2968,53.75537,38.7906,10.11897
53.81923,51.99305,37.09927,9.696871
51.89629,50.50433,35.58791,9.401443
50.52132,48.92923,34.2736,9.020644
49.02134,47.37532,32.93738,8.716081
47.91773,44.97832,31.72833,8.580241
46.82161,42.37231,30.57094,8.16475
45.27295,40.39524,29.3326,7.573941
44.29097,38.70015,27.96787,6.966055
44.42684,37.19044,26.63222,6.53787
46.24753,35.53363,25.60686,6.309141
49.94788,34.06322,24.55806,6.023797
56.52171,32.73182,23.44923,5.724237
67.30987,31.47327,22.50392,5.456547
83.88284,30.32232,21.62697,5.211785
108.0468,28.99978,20.56263,5.06392
144.6442,27.63821,19.52373,5.085049
194.9819,25.9554,18.41168,5.126746
258.9655,24.71556,17.36618,4.773834
338.8368,23.2242,16.42713,4.399959
435.8415,22.31781,15.48632,4.0414
546.9422,21.56102,14.71304,3.819247
661.3977,20.83091,14.11359,3.634538
764.9596,19.88038,13.58298,3.429081
847.8614,18.90003,13.151,3.414299
900.2392,18.05888,12.81678,3.4244
917.8232,17.1751,12.05674,3.579512
899.7231,16.27687,11.24247,3.6979
847.3273,15.24657,10.51117,3.822905
764.0949,14.34238,9.96946,3.6599
658.532,13.24039,9.348278,3.379274
549.5444,12.8704,8.906193,3.125426
447.2611,12.29043,8.674367,2.882916
354.7585,11.63433,8.547645,2.624774
274.2205,10.88649,8.571542,2.310121
